"upm","est_sel","ponde_2anios","estrato_rec","hwise_preocupa","hwise_disminucion","hwise_lavar_suficiente","hwise_cambio_planes","hwise_manos","hwise_banarse","hwise_beber","hwise_molesto","hwise_sed","hwise_apta","hwise_verguenza","hwise_alimentos","frec_agua_clean","escasez_clean","horas_z","temp_sin_agua_bin","almacena_tambo_no_tapa","almacena_cubeta_no_tapa","almacena_cubeta_con_tapa","almacena_tambo_con_tapa","gasto_z","ingreso_z","integrantes_z","agua_bin","indigena_d","mujer_jefa","HWISE_fs","CONT_fs","COPING_fs","Regimen"
100100013312,1000,102888667628034,"Metropolitano",4,4,3,3,3,3,3,3,1,1,1,3,3,4,-1.1616653131089,0,1,0,0,0,0.121382813695569,0.85795506800306,1.06759950283204,1,0,0,0.94854022479875,-0.241890584402397,-0.0438196495756528,"4"
100100013312,1000,102888667628034,"Metropolitano",2,3,2,2,1,2,1,3,2,2,2,1,3,4,-1.27048831698885,1,1,0,0,0,0.192305982109202,-0.934845038992872,0.439543815153273,1,0,1,-0.115079408780066,0.124328256314554,-0.0718851337313323,"4"
100100013312,1000,102888667628034,"Metropolitano",3,3,3,3,3,3,1,3,1,1,1,3,5,4,-1.1616653131089,0,1,0,0,0,1.0433840030728,-0.0384449854949059,1.06759950283204,1,0,0,0.632736266974586,0.706768514831025,-0.0772959112741476,"4"
100100013312,1000,102888667628034,"Metropolitano",1,1,1,1,1,1,1,1,1,1,1,1,5,3,-0.399904285949248,1,0,0,0,0,0.0504596452819358,0.85795506800306,-0.188511872525493,1,0,1,-1.29104343559044,1.37483612134236,-0.242287314078588,"3"
100100013312,1000,96188940433650.5,"Metropolitano",3,4,4,4,2,4,1,4,1,1,1,2,5,3,-1.3793113208688,0,0,0,0,0,0.149752081061022,-0.934845038992872,1.06759950283204,1,0,0,1.1127758521692,0.563983555828744,-0.107765469536809,"4"
100100013312,1000,96188940433650.5,"Metropolitano",4,4,3,3,2,3,2,3,2,1,2,3,3,3,-1.5969573286287,0,0,0,0,0,-0.0559251073385135,-0.0384449854949059,-0.816567560204259,1,0,1,0.895166314081313,-0.304762565392941,-0.113876471021818,"4"
100100013312,1000,96188940433650.5,"Metropolitano",1,1,1,1,1,1,1,1,1,1,1,1,5,1,-0.944019305349,0,0,0,1,0,3.02923271865452,-0.0384449854949059,1.6956551905108,1,0,0,-1.26965552207516,1.01074504805635,-0.103157752256003,"3"
100100013312,1000,114863339624127,"Metropolitano",4,4,4,3,3,3,1,3,1,1,2,3,4,4,-1.1616653131089,0,1,0,0,0,-0.233233028372596,-0.0384449854949059,1.6956551905108,1,0,0,1.07394237819348,0.179709020782458,-0.0379510851932949,"4"
100100013312,1000,118421053683282,"Metropolitano",1,1,1,1,1,1,1,1,1,1,1,1,5,4,0.905971760610157,1,0,0,0,0,0.192305982109202,-0.934845038992872,-1.44462324788302,1,0,1,-1.31279211016606,1.61311076438064,-0.244050066831425,"3"
100100013312,1000,118421053683282,"Metropolitano",1,1,1,1,1,1,1,1,1,1,1,1,5,5,0.905971760610157,0,0,0,0,0,0.0504596452819358,0.85795506800306,0.439543815153273,1,0,0,-1.30600172882275,1.56490993772313,-0.242629104708842,"3"
100100013312,1000,118421053683282,"Metropolitano",1,2,1,1,1,1,2,1,1,2,1,1,5,5,-1.27048831698885,1,0,0,0,0,0.4050754873501,-0.0384449854949059,0.439543815153273,1,0,0,-1.1334112612645,1.33409978318421,-0.217676588035015,"3"
100100013312,1000,118421053683282,"Metropolitano",1,2,1,1,1,1,1,1,1,1,1,1,5,4,0.361856741210405,1,1,1,0,0,0.263229150522835,-0.934845038992872,0.439543815153273,1,0,0,-1.20191862235789,1.39431913242714,-0.0399751690671197,"3"
100100013312,1000,118421053683282,"Metropolitano",1,2,1,1,1,1,1,1,1,1,1,1,5,5,0.905971760610157,1,0,0,1,0,-0.09138669154533,-0.934845038992872,0.439543815153273,1,0,0,-1.2301101088044,1.59634359336465,-0.128562664365443,"3"
100100013312,1000,112202119266552,"Metropolitano",2,2,2,2,2,2,2,2,1,2,1,2,4,3,-1.1616653131089,1,0,1,0,0,-0.0204635231316971,-0.934845038992872,0.439543815153273,1,0,0,-0.166752848764564,0.488261434770048,-0.037103110864047,"4"
100100013312,1000,112202119266552,"Metropolitano",2,2,2,3,2,2,1,3,1,1,1,2,5,1,-0.399904285949248,1,0,0,0,0,0.0504596452819358,-0.0384449854949059,-0.816567560204259,1,0,0,0.00366351413514898,0.937570141531365,-0.185917850102944,"4"
100100013312,1000,112202119266552,"Metropolitano",2,2,2,2,2,2,1,2,1,1,1,2,4,4,-1.48813432474875,1,0,0,0,0,0.0504596452819358,-0.0384449854949059,-0.188511872525493,1,0,0,-0.299729826553734,0.60255534439918,-0.174139389419132,"4"
100100013312,1000,112202119266552,"Metropolitano",2,2,2,2,1,1,1,1,1,1,1,2,5,5,-1.27048831698885,1,0,0,0,0,0.078828912647389,-0.934845038992872,1.06759950283204,1,0,0,-0.654168145104355,1.2329125474497,-0.182058770461557,"3"
200400013107,2000,194652974034639,"Metropolitano",1,1,1,1,1,1,1,1,1,1,1,1,5,1,0.905971760610157,0,1,0,0,0,-0.162309859958963,-0.0384449854949059,0.439543815153273,1,0,0,-1.27136445199276,1.29689434105852,-0.159951168855951,"3"
200400013107,2000,194652974034639,"Metropolitano",1,1,1,1,1,1,1,1,1,1,1,1,5,1,0.905971760610157,0,1,0,0,0,0.334152318936467,1.75435512150103,1.6956551905108,1,0,0,-1.27326742713484,1.29380210322982,-0.167683951354982,"3"
